2014-02-28	14
2014-02-27	16
2014-02-26	18
2014-02-25	8
2014-02-24	26
2014-02-23	11
2014-02-22	37
2014-02-21	22
2014-02-20	15
2014-02-19	34
2014-02-18	27
2014-02-17	27
2014-02-16	20
2014-02-15	17
2014-02-14	14
2014-02-13	27
2014-02-12	27
2014-02-11	10
2014-02-10	12
2014-02-09	4
2014-02-08	5
2014-02-07	8
2014-02-06	6
2014-02-05	7
2014-02-04	5
2014-02-03	11
2014-02-02	14
2014-01-31	3
2014-01-30	3
2014-01-29	10
2014-01-28	4
2014-01-27	6
2014-01-24	5
2014-01-23	5
2014-01-22	1
2014-01-21	2
2014-01-20	5
2014-01-19	1
2014-01-17	3
2014-01-16	1
2014-01-15	2
2014-01-13	4
2014-01-12	1
2014-01-11	2
2014-01-09	2
2014-01-08	6
2014-01-07	3
2014-01-06	2
2014-01-05	2
2014-01-02	2
2014-01-01	1
2013-12-29	1
2013-12-26	2
2013-12-21	2
2013-12-20	2
2013-12-19	1
2013-12-18	1
2013-12-17	5
2013-12-16	4
2013-12-15	1
2013-12-14	3
2013-12-13	1
2013-12-12	1
2013-12-11	1
2013-12-10	2
2013-12-08	2
2013-12-07	1
2013-12-06	1
2013-12-05	1
2013-12-04	2
2013-12-03	5
2013-12-02	9
2013-11-29	3
2013-11-28	2
2013-11-27	2
2013-11-26	10
2013-11-25	4
2013-11-24	2
2013-11-23	3
2013-11-22	4
2013-11-21	8
2013-11-20	1
2013-11-19	2
2013-11-18	3
2013-11-17	1
2013-11-16	3
2013-11-15	2
2013-11-14	6
2013-11-13	3
2013-11-12	4
2013-11-11	5
2013-11-09	7
2013-11-08	3
2013-11-07	6
2013-11-06	4
2013-11-05	14
2013-11-04	6
2013-11-03	1
2013-11-01	4
2013-10-31	9
2013-10-30	3
2013-10-29	17
2013-10-28	3
2013-10-27	1
2013-10-26	4
2013-10-25	10
2013-10-23	14
2013-10-22	4
2013-10-21	8
2013-10-20	2
2013-10-19	2
2013-10-18	2
2013-10-17	6
2013-10-16	9
2013-10-15	8
2013-10-14	6
2013-10-12	4
2013-10-11	2
2013-10-10	5
2013-10-09	5
2013-10-08	5
2013-10-07	10
2013-10-06	1
2013-10-04	7
2013-10-03	7
2013-10-02	9
2013-10-01	21
2013-09-30	13
2013-09-27	4
2013-09-26	5
2013-09-25	4
2013-09-24	5
2013-09-23	9
2013-09-22	1
2013-09-21	2
2013-09-20	2
2013-09-19	4
2013-09-18	14
2013-09-17	6
