		 Market cap as of 9/17/14 	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement		
SEM	Buybacks	 1,690.0 	8/7/2014	After	5/1/2014	After	2/20/2014	After	10/31/2013	After	8/8/2013	After	5/2/2013	After	2/21/2013	After	11/1/2012	After	8/7/2012	After	5/3/2012	After	2/23/2012	After	11/3/2011	After	8/4/2011	After	5/5/2011	After	3/3/2011	After	11/4/2010	After	8/5/2010	After	5/13/2010	After	2/18/2010	After	11/5/2009	After								
EL	Buybacks	 28,480.0 	8/15/2014	Before	5/2/2014	Before	2/5/2014	Before	10/31/2013	Before	8/15/2013	Before	5/2/2013	Before	2/5/2013	Before	11/1/2012	Before	8/14/2012	Before	5/4/2012	Before	2/3/2012	Before	11/3/2011	Before	8/15/2011	Before	5/5/2011	Before	2/3/2011	Before	10/29/2010	Before	8/12/2010	Before	4/27/2010	Before	1/28/2010	Before	10/30/2009	Before	8/13/2009	Before	5/4/2009	Before	2/5/2009	Before		
DOV	Buybacks	 14,110.0 	7/17/2014	Before	4/17/2014	Before	1/30/2014	Before	10/17/2013	Before	7/18/2013	Before	4/17/2013	Before	1/24/2013	Before	10/17/2012	Before	7/18/2012	Before	4/18/2012	Before	1/25/2012	Before	10/21/2011	Before	7/22/2011	Before	4/21/2011	Before	1/28/2011	Before	10/22/2010	Before	7/23/2010	Before	4/23/2010	Before	1/29/2010	Before	10/23/2009	Before	7/24/2009	Before	4/22/2009	Before	1/28/2009	Before		
DX	Buybacks	 458.7 	7/30/2014	Before	5/7/2014	Before	2/19/2014	Before	11/5/2013	Before	7/31/2013	After	5/1/2013	After	2/19/2013	After	11/1/2012	Before	7/30/2012	Before	5/2/2012	After	2/21/2012	After	11/1/2011	After	7/28/2011	Before																						
ABC	Buybacks	 17,200.0 	7/24/2014	Before	4/24/2014	Before	1/23/2014	Before	10/31/2013	Before	7/24/2013	Before	4/25/2013	Before	1/24/2013	Before	11/1/2012	Before	7/26/2012	Before	4/26/2012	Before	1/26/2012	Before	11/1/2011	Before	7/28/2011	Before	4/28/2011	Before	2/4/2011	Before	11/2/2010	Before	7/27/2010	Before	4/22/2010	Before	1/26/2010	Before	11/3/2009	Before	7/30/2009	Before	4/23/2009	Before	1/22/2009	Before		
KAI	Buybacks	 438.4 	7/28/2014	After	4/29/2014	After	2/19/2014	After	11/4/2013	After	7/29/2013	After	4/29/2013	After	2/26/2013	After	10/29/2012	During	7/30/2012	After	4/25/2012	After	2/22/2012	After	10/26/2011	After	7/27/2011	After	4/27/2011	After	2/23/2011	After	10/27/2010	After	7/28/2010	After	4/28/2010	After												
POWI	Buybacks	 1,700.0 	7/29/2014	After	4/29/2014	After	2/3/2014	After	10/30/2013	After	7/30/2013	After	5/2/2013	After	2/4/2013	After	10/25/2012	After	8/6/2012	After	5/3/2012	After	2/2/2012	After	11/3/2011	After	8/2/2011	After	5/2/2011	After	2/3/2011	After	10/27/2010	After	8/2/2010	After	4/28/2010	After	2/4/2010	Before	10/23/2009	Before	7/30/2009	After	4/23/2009	After	2/4/2009	After		
AVGO	STPD long	 22,190.0 	8/28/2014	After	5/29/2014	After	2/25/2014	After	12/4/2013	After	8/27/2013	After	5/29/2013	After	2/26/2013	After	11/29/2012	After	8/16/2012	After	5/22/2012	After	2/22/2012	After	12/1/2011	After	8/23/2011	After	5/24/2011	After	2/23/2011	After	12/2/2010	After					2/24/2010	After	12/3/2009	After								
CONN	STPD long	 1,070.0 	9/2/2014	Before	6/2/2014	Before	3/27/2014	Before	12/5/2014	Before	9/5/2013	Before	6/6/2013	Before	4/3/2013	Before	12/3/2012	Before	9/5/2012	Before	6/4/2012	Before	4/3/2012	Before	12/8/2011	Before	9/7/2011	Before	5/25/2011	Before	3/31/2011	Before	12/2/2010	Before	8/26/2010	Before	5/27/2010	Before	3/25/2010	Before	11/25/2009	Before	8/27/2009	Before	6/4/2009	Before	3/26/2009	Before		
DG	STPD long	 19,300.0 	8/28/2014	Before	6/3/2014	Before	3/13/2014	Before	12/5/2013	Before	9/4/2013	Before	6/4/2013	Before	3/25/2013	Before	12/11/2012	Before	9/5/2012	Before	6/4/2012	After	3/22/2012	Before	12/5/2011	Before	8/30/2011	Before	6/1/2011	Before	3/22/2011	Before	12/6/2010	Before	8/31/2010	Before	6/8/2010	Before	3/31/2010	Before	12/10/2009	Before								
FNSR	STPD long	 1,850.0 	9/4/2014	After	6/12/2014	After	3/6/2014	After	12/5/2013	After	9/5/2013	After	6/19/2013	After	3/7/2013	After	12/5/2012	After	9/4/2012	After	6/11/2012	After	2/29/2012	After	11/30/2011	After	9/1/2011	After	6/15/2011	After	3/8/2011	After	12/1/2010	After	9/2/2010	After	6/10/2010	After	3/3/2010	After										
KFY	STPD long	 1,450.0 	9/8/2014	After	6/16/2014	After	3/6/2014	After	12/4/2013	After	9/5/2013	After	6/17/2013	After	3/6/2013	After	12/6/2012	Before	9/5/2012	After	6/13/2012	After	3/7/2012	After	12/8/2011	Before	9/8/2011	After	6/15/2011	Before	3/9/2011	Before	12/8/2010	Before	9/9/2010	Before	6/14/2010	After	3/9/2010	Before	9/9/2009	Before	6/9/2009	During	3/11/2009	Before				
MEI	STPD long	 1,540.0 	9/4/2014	Before	6/26/2014	Before	3/13/2014	Before	12/5/2013	Before	8/29/2013	Before	6/20/2013	Before	2/28/2013	Before	12/6/2012	Before	8/30/2012	Before	6/28/2012	Before	3/1/2012	Before	12/8/2011	Before	9/1/2011	Before	6/30/2011	Before	3/3/2011	Before	12/9/2010	Before	9/2/2010	Before	7/1/2010	Before	3/4/2010	Before	12/10/2009	Before	9/3/2009	Before	7/2/2009	Before	3/12/2009	Before		
MFRM	STPD long	 2,130.0 	9/4/2014	Before	6/3/2014	After	3/13/2014	After	12/4/2013	After	9/6/2013	Before	6/4/2013	After	3/26/2013	After	12/4/2012	After	9/6/2012	After	6/5/2012	After	4/10/2012	After	12/21/2011	After																								
